L[erg/s]	M_ej[M_sun]	T_PWN[1e5K]	log(B)[G]	OIII[0.167]	S3[0.173]	SiII[0.233]	CII[0.233]	OII[0.247]	FeII[0.26]	MgII[0.28]	CaII[0.393]	S2[0.407]	MgI[0.456]	CI[0.462]	FeIII[0.466]	FeIII[0.499]	OIII[0.501]	FeII[0.502]	FeI[0.517]	OI[0.558]	CoIII[0.589]	OI[0.63]	S3[0.631]	S2[0.672]	NiIII[0.712]	CaII[0.729]	FeI[0.771]	FeI[0.835]	CaII[0.854]	S3[0.953]	CI[0.985]	CoII[1.02]	SI[1.08]	NiII[1.19]	FeII[1.26]	FeI[1.44]	SiI[1.65]	CoII[2.48]	FeII[4.12]	NiII[6.64]	ArII[6.99]	NiIII[7.35]	NiI[7.51]	ArIII[8.99]	NeII[12.8]	FeI[14.2]	S3[18.7]	FeIII[22.9]	FeI[24.0]	SI[25.2]	FeII[26.0]	SiII[34.8]	OIII[51.8]	OI[63.2]	SiI[68.5]	
1e+40	4.0	3	14.9	0	0	0	0	0	0	0	0	2.94e+36	0	0	0	0	7.73e+35	0	0	0	0	2.25e+37	0	0	0	6.76e+37	0	0	0	0	0	0	0	0	1.88e+37	0	0	0	0	1.06e+37	1.59e+37	2.18e+36	0	0	4.32e+37	0	0	0	0	0	0	0	0	0	0	
3e+39	2.5	10	15.2	0	0	0	0	0	0	0	0	0	5.38e+36	0	0	0	7.35e+34	0	0	0	0	9.09e+36	0	0	0	1.42e+37	0	0	0	0	1.18e+36	0	2.11e+36	0	7.78e+36	1.63e+36	0	0	0	3.95e+36	2.64e+36	8.59e+35	0	0	1.71e+37	0	0	0	0	0	0	9.90e+35	0	0	0	
1e+40	1.5	1	14.9	0	0	0	0	0	0	0	0	0	0	0	0	0	9.52e+35	0	0	0	0	0	0	0	0	0	0	0	0	2.06e+37	0	0	0	0	0	0	0	0	0	0	1.14e+36	3.95e+36	0	7.23e+36	3.44e+37	0	0	0	0	0	0	0	0	0	0	
3e+40	1.5	1	14.7	0	0	0	0	0	0	0	0	0	0	0	0	0	2.74e+37	0	0	0	0	0	0	0	0	0	0	0	0	7.09e+37	0	0	0	0	0	0	0	0	0	0	0	4.18e+36	0	8.83e+36	3.41e+37	0	0	0	0	0	0	0	0	0	0	
1e+40	2.5	10	14.9	0	0	0	0	1.59e+34	0	6.72e+36	0	8.04e+36	0	0	0	0	2.01e+36	0	0	0	0	3.88e+37	0	0	0	8.32e+37	0	0	0	0	0	0	0	0	2.67e+37	0	0	0	0	8.35e+36	9.18e+36	0	0	0	3.31e+37	0	0	0	0	0	0	0	0	0	0	
3e+40	2.5	1	14.7	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09e+37	0	0	0	0	0	0	0	0	0	0	0	0	1.03e+38	0	0	0	0	0	0	0	0	0	0	0	8.42e+36	0	1.38e+37	5.56e+37	0	0	0	0	0	0	0	0	0	0	
3e+40	2.5	3	14.7	0	0	0	0	1.93e+36	0	0	0	7.50e+36	0	0	2.27e+37	0	9.35e+37	0	0	0	0	0	0	0	0	4.30e+35	0	0	0	2.38e+38	0	0	0	0	0	0	0	0	0	0	0	1.10e+37	0	1.28e+37	5.53e+37	0	0	0	0	0	0	0	0	0	0	
1e+40	1.5	3	14.9	0	0	0	0	0	0	0	0	3.04e+36	0	0	5.07e+36	0	2.22e+37	0	0	0	0	0	0	0	0	2.96e+35	0	0	0	7.33e+37	0	0	0	0	0	0	0	0	0	0	2.65e+36	4.91e+36	0	6.99e+36	3.49e+37	0	0	0	0	0	0	0	0	0	0	
3e+39	1.5	3	15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	4.76e+35	0	0	0	0	2.32e+36	0	0	0	1.06e+37	0	0	0	0	0	0	0	0	4.50e+36	0	0	0	0	2.48e+36	6.74e+36	1.22e+36	0	7.36e+35	2.37e+37	0	0	0	0	0	0	6.24e+35	0	0	0	
1e+41	1.5	1	14.4	0	0	0	0	0	0	0	0	0	0	0	0	0	2.25e+38	0	0	0	0	0	0	0	0	0	0	0	0	7.11e+37	0	0	0	0	0	0	0	0	0	0	0	0	0	6.07e+36	3.39e+36	0	0	0	0	0	0	0	0	0	0	
1e+41	2.5	10	14.4	0	0	0	5.90e+37	3.71e+38	0	2.25e+37	0	0	0	0	1.11e+38	0	7.60e+38	0	0	0	0	0	0	0	0	7.83e+35	0	0	0	6.91e+38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.97e+37	0	0	0	0	0	0	0	0	0	0	
3e+40	1.5	10	14.7	0	0	0	8.00e+36	6.66e+37	0	1.04e+37	0	1.08e+37	0	0	3.06e+37	0	2.03e+38	0	0	0	0	0	0	0	0	6.10e+35	0	0	0	2.57e+38	0	0	0	0	0	0	0	0	0	0	0	7.24e+36	0	7.45e+36	3.22e+37	0	0	0	0	0	0	0	0	0	0	
1e+40	1.5	10	14.9	0	0	0	0	5.58e+36	0	3.73e+37	0	2.03e+37	0	0	3.49e+36	0	1.86e+37	0	0	0	0	7.35e+36	0	0	0	3.27e+37	0	0	0	8.37e+36	0	0	0	0	3.02e+37	0	0	0	0	4.60e+36	8.09e+36	3.44e+36	0	2.42e+36	3.27e+37	0	0	0	0	0	0	0	0	0	0	
1e+41	2.5	3	14.4	0	0	0	0	1.93e+37	0	0	0	0	0	0	0	0	8.07e+38	0	0	0	0	0	0	0	0	8.24e+34	0	0	0	4.89e+38	0	0	0	0	0	0	0	0	0	0	0	0	0	1.52e+37	3.48e+37	0	0	0	0	0	0	0	0	0	0	
1e+41	4.0	3	14.4	0	0	0	0	7.95e+37	0	0	0	0	0	0	8.93e+37	0	4.55e+38	0	0	0	0	0	0	0	0	4.45e+35	0	0	0	6.89e+38	0	0	0	0	0	0	0	0	0	0	0	2.60e+37	0	2.30e+37	7.82e+37	0	0	0	0	0	0	0	0	0	0	
3e+39	1.5	10	15.2	0	0	0	0	0	0	0	0	1.47e+36	0	0	0	0	4.13e+35	0	0	0	0	1.04e+37	0	0	0	1.88e+37	0	0	0	0	0	0	0	0	8.91e+36	0	0	0	0	3.06e+36	3.34e+36	9.41e+35	0	0	1.69e+37	0	0	0	0	0	0	0	0	0	0	
3e+39	4.0	3	15.2	0	0	0	0	0	0	0	0	0	7.31e+35	0	0	0	0	0	0	0	0	4.07e+36	0	0	0	8.56e+36	0	0	0	0	0	0	2.33e+36	0	6.82e+36	0	0	0	0	6.17e+36	4.70e+36	8.59e+35	0	0	2.25e+37	0	0	0	0	0	0	1.41e+36	4.17e+34	0	0	
3e+39	1.5	1	15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.50e+35	0	0	0	0	0	0	0	0	0	0	0	0	0	9.45e+35	5.70e+36	1.23e+36	0	1.29e+36	2.18e+37	0	0	0	0	0	0	5.58e+35	9.04e+34	0	0	
